state,visited
Alabama,-133
Alaska,-133
Arkansas,-133
Arizona,18.48
California,10.22
Colorado,11.9
Connecticut,-133
Delaware,-133
Florida,18.767
Georgia,-133
Hawaii,-133
Iowa,-133
Idaho,-133
Illinois,23.17
Indiana,16.296
Kansas,-133
Kentucky,-133
Louisiana,-133
Maine,-133
Maryland,23.59600292
Massachusetts,31.41859728
Michigan,2.87918274
Minnesota,-133
Missouri,-133
Mississippi,-133
Montana,-133
North Carolina,15.07748046
North Dakota,-133
Nebraska,-133
New Hampshire,-133
New Jersey,-133
New Mexico,-133
Nevada,-133
New York,19.35309327
Ohio,14.91213423
Oklahoma,-133
Oregon,-133
Pennsylvania,16.87851613
Rhode Island,-133
South Carolina,-133
South Dakota,-133
Tennessee,1.82512288
Texas,19.16877921
Utah,-133
Virginia,-133
Vermont,-133
Washington,22.11954171
Wisconsin,-133
West Virginia,-133
Wyoming,-133
